Category | Function,Role,Resource type,Unit,Region,Rate_low,Rate_high,Currency,Source,Notes,Estimated_Cost,Band,Anomaly_Flag
Account Management,Account Coordinator,FTE,Hour,UK-LON,75,75,GBP,OP_Content Lab,Exact Rate Match,31.91,K,
Account Management,Account Coordinator,FTE,Hour,EU-ES,75,75,EUR,OP_Content Lab,Exact Rate Match,31.91,J,
Account Management,Account Coordinator,FTE,Hour,EU-FR,100,100,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Account Management,Account Coordinator,FTE,Hour,EU-DE,95,95,EUR,OP_Content Lab,Exact Rate Match,40.43,K,
Account Management,Account Coordinator,FTE,Hour,EU-IT,90,90,EUR,OP_Content Lab,Exact Rate Match,38.3,K,
Account Management,Account Coordinator,FTE,Hour,LATAM-BR,375,375,BRL,OP_Content Lab,Exact Rate Match,159.57,J,
Account Management,Account Coordinator,FTE,Hour,APAC-CN,510,510,CNY,OP_Content Lab,Exact Rate Match,217.02,J,
Account Management,Account Coordinator,FTE,Hour,NA-CA,95,95,CAD,OP_Content Lab,Exact Rate Match,40.43,J,
Account Management,Account Coordinator,FTE,Hour,EU-CH,95,95,CHF,OP_Content Lab,Exact Rate Match,40.43,L,
Account Management,Account Coordinator,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Account Coordinator,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Account Coordinator,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Account Coordinator,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Account Director,FTE,Hour,UK-LON,145,145,GBP,OP_Content Lab,Exact Rate Match,61.7,N,
Account Management,Account Director,FTE,Hour,EU-ES,127,127,EUR,OP_Content Lab,Exact Rate Match,54.04,M,
Account Management,Account Director,FTE,Hour,EU-FR,190,190,EUR,OP_Content Lab,Exact Rate Match,80.85,N,
Account Management,Account Director,FTE,Hour,EU-DE,190,190,EUR,OP_Content Lab,Exact Rate Match,80.85,N,
Account Management,Account Director,FTE,Hour,EU-IT,140,140,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Account Management,Account Director,FTE,Hour,LATAM-BR,675,675,BRL,OP_Content Lab,Exact Rate Match,287.23,L,
Account Management,Account Director,FTE,Hour,APAC-CN,740,740,CNY,OP_Content Lab,Exact Rate Match,314.89,K,
Account Management,Account Director,FTE,Hour,NA-CA,160,160,CAD,OP_Content Lab,Exact Rate Match,68.09,L,
Account Management,Account Director,FTE,Hour,EU-CH,190,190,CHF,OP_Content Lab,Exact Rate Match,80.85,N,
Account Management,Account Director,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Account Director,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Account Director,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Account Director,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Account Executive,FTE,Hour,UK-LON,75,75,GBP,OP_Content Lab,Exact Rate Match,31.91,K,
Account Management,Account Executive,FTE,Hour,EU-ES,75,75,EUR,OP_Content Lab,Exact Rate Match,31.91,J,
Account Management,Account Executive,FTE,Hour,EU-FR,100,100,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Account Management,Account Executive,FTE,Hour,EU-DE,95,95,EUR,OP_Content Lab,Exact Rate Match,40.43,K,
Account Management,Account Executive,FTE,Hour,EU-IT,90,90,EUR,OP_Content Lab,Exact Rate Match,38.3,K,
Account Management,Account Executive,FTE,Hour,LATAM-BR,375,375,BRL,OP_Content Lab,Exact Rate Match,159.57,J,
Account Management,Account Executive,FTE,Hour,APAC-CN,510,510,CNY,OP_Content Lab,Exact Rate Match,217.02,J,
Account Management,Account Executive,FTE,Hour,NA-CA,95,95,CAD,OP_Content Lab,Exact Rate Match,40.43,J,
Account Management,Account Executive,FTE,Hour,EU-CH,95,95,CHF,OP_Content Lab,Exact Rate Match,40.43,L,
Account Management,Account Executive,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Account Executive,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Account Executive,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Account Executive,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Account Manager,FTE,Hour,UK-LON,95,95,GBP,OP_Content Lab,Exact Rate Match,40.43,L,
Account Management,Account Manager,FTE,Hour,EU-ES,100,100,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Account Management,Account Manager,FTE,Hour,EU-FR,140,140,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Account Management,Account Manager,FTE,Hour,EU-DE,140,140,EUR,OP_Content Lab,Exact Rate Match,59.57,M,
Account Management,Account Manager,FTE,Hour,EU-IT,120,120,EUR,OP_Content Lab,Exact Rate Match,51.06,L,
Account Management,Account Manager,FTE,Hour,LATAM-BR,580,580,BRL,OP_Content Lab,Exact Rate Match,246.81,K,
Account Management,Account Manager,FTE,Hour,APAC-CN,775,775,CNY,OP_Content Lab,Exact Rate Match,329.79,L,
Account Management,Account Manager,FTE,Hour,NA-CA,122,122,CAD,OP_Content Lab,Exact Rate Match,51.91,K,
Account Management,Account Manager,FTE,Hour,EU-CH,140,140,CHF,OP_Content Lab,Exact Rate Match,59.57,M,
Account Management,Account Manager,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Account Manager,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Account Manager,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Account Manager,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Account Supervisor,FTE,Hour,UK-LON,110,110,GBP,OP_Content Lab,Exact Rate Match,46.81,M,
Account Management,Account Supervisor,FTE,Hour,EU-ES,120,120,EUR,OP_Content Lab,Exact Rate Match,51.06,L,
Account Management,Account Supervisor,FTE,Hour,EU-FR,175,175,EUR,OP_Content Lab,Exact Rate Match,74.47,N,
Account Management,Account Supervisor,FTE,Hour,EU-DE,150,150,EUR,OP_Content Lab,Exact Rate Match,63.83,M,
Account Management,Account Supervisor,FTE,Hour,EU-IT,127,127,EUR,OP_Content Lab,Exact Rate Match,54.04,M,
Account Management,Account Supervisor,FTE,Hour,LATAM-BR,640,640,BRL,OP_Content Lab,Exact Rate Match,272.34,L,
Account Management,Account Supervisor,FTE,Hour,APAC-CN,710,710,CNY,OP_Content Lab,Exact Rate Match,302.13,K,
Account Management,Account Supervisor,FTE,Hour,NA-CA,145,145,CAD,OP_Content Lab,Exact Rate Match,61.7,L,
Account Management,Account Supervisor,FTE,Hour,EU-CH,150,150,CHF,OP_Content Lab,Exact Rate Match,63.83,M,
Account Management,Account Supervisor,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Account Supervisor,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Account Supervisor,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Account Supervisor,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Senior Account Director,FTE,Hour,UK-LON,180,180,GBP,OP_Content Lab,Exact Rate Match,76.6,N,
Account Management,Senior Account Director,FTE,Hour,EU-ES,155,155,EUR,OP_Content Lab,Exact Rate Match,65.96,M,
Account Management,Senior Account Director,FTE,Hour,EU-FR,200,200,EUR,OP_Content Lab,Exact Rate Match,85.11,N,
Account Management,Senior Account Director,FTE,Hour,EU-DE,210,210,EUR,OP_Content Lab,Exact Rate Match,89.36,N,
Account Management,Senior Account Director,FTE,Hour,EU-IT,145,145,EUR,OP_Content Lab,Exact Rate Match,61.7,M,
Account Management,Senior Account Director,FTE,Hour,LATAM-BR,790,790,BRL,OP_Content Lab,Exact Rate Match,336.17,M,
Account Management,Senior Account Director,FTE,Hour,APAC-CN,815,815,CNY,OP_Content Lab,Exact Rate Match,346.81,L,
Account Management,Senior Account Director,FTE,Hour,NA-CA,177,177,CAD,OP_Content Lab,Exact Rate Match,75.32,L,
Account Management,Senior Account Director,FTE,Hour,EU-CH,210,210,CHF,OP_Content Lab,Exact Rate Match,89.36,N,
Account Management,Senior Account Director,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Senior Account Director,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Senior Account Director,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Senior Account Director,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Assistant Account Executive,FTE,Hour,UK-LON,75,75,GBP,OP_Content Lab,Exact Rate Match,31.91,K,
Account Management,Assistant Account Executive,FTE,Hour,EU-ES,75,75,EUR,OP_Content Lab,Exact Rate Match,31.91,J,
Account Management,Assistant Account Executive,FTE,Hour,EU-FR,100,100,EUR,OP_Content Lab,Exact Rate Match,42.55,L,
Account Management,Assistant Account Executive,FTE,Hour,EU-DE,95,95,EUR,OP_Content Lab,Exact Rate Match,40.43,K,
Account Management,Assistant Account Executive,FTE,Hour,EU-IT,90,90,EUR,OP_Content Lab,Exact Rate Match,38.3,K,
Account Management,Assistant Account Executive,FTE,Hour,LATAM-BR,375,375,BRL,OP_Content Lab,Exact Rate Match,159.57,J,
Account Management,Assistant Account Executive,FTE,Hour,APAC-CN,510,510,CNY,OP_Content Lab,Exact Rate Match,217.02,J,
Account Management,Assistant Account Executive,FTE,Hour,NA-CA,95,95,CAD,OP_Content Lab,Exact Rate Match,40.43,J,
Account Management,Assistant Account Executive,FTE,Hour,EU-CH,95,95,CHF,OP_Content Lab,Exact Rate Match,40.43,L,
Account Management,Assistant Account Executive,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match,12.77,J,
Account Management,Assistant Account Executive,FTE,Hour,APAC-CN-USD,42,42,USD,OP_Content Lab,Exact Rate Match,17.87,J,
Account Management,Assistant Account Executive,FTE,Hour,LATAM-MX,45,45,USD,OP_Content Lab,Exact Rate Match,19.15,J,
Account Management,Assistant Account Executive,FTE,Hour,EU-PL,47.5,47.5,USD,OP_Content Lab,Exact Rate Match,20.21,J,
Account Management,Global Account Head,FTE,Hour,UK-LON,300,300,GBP,OP_Content Lab,Exact Rate Match,127.66,O,
Account Management,Global Account Head,FTE,Hour,EU-ES,250,250,EUR,OP_Content Lab,Exact Rate Match,106.38,O,
Account Management,Global Account Head,FTE,Hour,EU-FR,315,315,EUR,OP_Content Lab,Exact Rate Match,134.04,O,
Account Management,Global Account Head,FTE,Hour,EU-DE,300,300,EUR,OP_Content Lab,Exact Rate Match,127.66,O,
Account Management,Global Account Head,FTE,Hour,EU-IT,225,225,EUR,OP_Content Lab,Exact Rate Match,95.74,N,
Account Management,Global Account Head,FTE,Hour,LATAM-BR,1500,1500,BRL,OP_Content Lab,Exact Rate Match,638.3,O,
Account Management,Global Account Head,FTE,Hour,APAC-CN,3100,3100,CNY,OP_Content Lab,Exact Rate Match,1319.15,O,
Account Management,Global Account Head,FTE,Hour,NA-CA,300,300,CAD,OP_Content Lab,Exact Rate Match,127.66,N,
Account Management,Global Account Head,FTE,Hour,EU-CH,300,300,CHF,OP_Content Lab,Exact Rate Match,127.66,O,
Account Management,Global Account Head,FTE,Hour,APAC-IN,30,30,USD,OP_Content Lab,Exact Rate Match,12.77,J,
